distance,T
0,3.02688e-69
0.014285,5.74455e-69
0.02857,8.46221e-69
0.042855,1.11799e-68
0.0571399,1.20293e-65
0.0714249,4.39585e-65
0.0857099,7.58876e-65
0.0999949,1.35531e-64
0.11428,1.97983e-64
0.128565,-1.91071e-61
0.14285,-3.02538e-60
0.157135,-6.82817e-60
0.17142,-9.86596e-60
0.185705,-1.44591e-59
0.19999,-3.38118e-57
0.214275,-9.17725e-57
0.22856,-1.2429e-56
0.242845,6.53142e-54
0.25713,1.22837e-53
0.271415,1.80359e-53
0.2857,1.41655e-50
0.299985,3.95968e-50
0.31427,5.90155e-50
0.328555,3.81178e-47
0.34284,9.81221e-47
0.357125,1.51949e-46
0.37141,6.47527e-44
0.385695,1.53704e-43
0.39998,2.42656e-43
0.414265,1.02819e-40
0.42855,2.47316e-40
0.442835,3.50536e-40
0.45712,9.08754e-38
0.471405,2.09162e-37
0.48569,1.65895e-35
0.499974,1.19988e-34
0.514259,1.73791e-34
0.528544,2.18439e-33
0.542829,7.10174e-33
0.557114,1.20191e-32
0.571399,6.26554e-31
0.585684,1.7225e-30
0.599969,1.10695e-29
0.614254,3.74073e-29
0.628539,5.95843e-29
0.642824,3.45661e-27
0.657109,1.0371e-26
0.671394,1.90117e-24
0.685679,5.55713e-24
0.699964,7.23649e-24
0.714249,-4.17224e-24
0.728534,-1.57248e-23
0.742819,-2.11756e-19
0.757104,-4.79828e-19
0.771389,-3.5814e-18
0.785674,-1.18287e-17
0.799959,-2.19687e-17
0.814244,-6.44797e-16
0.828529,-2.97786e-15
0.842814,-8.50521e-15
0.857099,-1.44506e-14
0.871384,-1.4417e-13
0.885669,-1.03585e-12
0.899954,-3.90226e-12
0.914239,-6.88996e-12
0.928524,-1.39539e-11
0.942809,-4.08752e-10
0.957094,-1.13878e-09
0.971379,-1.17179e-09
0.985664,-4.1067e-10
0.999949,-1.22097e-09
1.01423,-5.65521e-09
1.02852,-1.25497e-08
1.0428,-1.12451e-08
1.05709,-6.90626e-08
1.07137,-8.81838e-08
1.08566,-8.41937e-08
1.09994,-7.17874e-08
1.11423,-4.18073e-08
1.12851,-6.72346e-08
1.1428,-7.15781e-08
1.15708,-2.137e-08
1.17137,-1.16641e-08
1.18565,-2.65624e-09
1.19994,-8.04547e-10
1.21422,-1.96864e-10
1.22851,-4.03796e-11
1.24279,-6.68671e-12
1.25708,-7.91024e-13
1.27136,-1.06708e-13
1.28565,-1.09745e-14
1.29993,-9.45341e-16
1.31422,-8.5131e-17
1.3285,-6.39926e-18
1.34279,-2.06152e-19
1.35707,-8.39537e-21
1.37136,-2.70886e-22
1.38564,-5.37739e-24
1.39993,-5.80008e-26
1.41421,-1.46653e-28
